run1,run2,family,skew_trec,skew_cop,collection
5,79,Tawn,0.961305924754161,0.779377617827517,web2010
5,80,Tawn,0.905393586542977,0.771071578030506,web2010
5,81,SG,0.9613521619923,0.00496070449552511,web2010
5,82,F,-0.976911284481863,0.0183328696633262,web2010
5,85,J,0.885504444131652,0.00448539226211619,web2010
5,87,J,0.504290365159281,0.00683226874773037,web2010
5,88,t,-0.622614416031483,-0.00176832796797913,web2010
6,7,G,0.0577758247313365,-0.0196174411470833,web2010
6,8,C,0.876659571411777,-0.0050268599323662,web2010
6,9,I,-0.382163212213691,-0.00561194503256921,web2010
6,10,I,-0.532000064093207,0.00193427294951156,web2010
6,11,t,-0.689207902910259,-0.0270215354243007,web2010
6,12,t,-0.571872407481704,0.00559047058692238,web2010
6,13,F,-1.39263951829026,-0.0204242355292942,web2010
6,14,F,-0.373646881115746,-0.0177858014186103,web2010
6,15,G,1.04315929999185,0.00854113876714143,web2010
6,16,N,-1.27979212446105,0.0122410948003716,web2010
6,17,SBB8,-1.10916347960907,-0.0233786369256431,web2010
6,18,SC,0.944297160976209,0.0232741614949233,web2010
6,19,G,-0.38777714868491,-0.0157096169564328,web2010
6,20,SJ,-0.412523064219293,-0.0183999394510351,web2010
6,21,SBB7,1.46775715536859,-0.00612010434630678,web2010
6,22,Tawn2_180,1.57329691335139,0.40683343335209,web2010
6,24,C,-0.0232115507204097,0.00536428555866078,web2010
6,25,Tawn180,-0.0388767796617984,-0.261581145065031,web2010
6,26,C,0.0635004189437939,0.00316650899310481,web2010
6,27,F,-0.470561934769242,0.0183357269359111,web2010
6,29,Tawn180,-0.870374357901886,-0.325630418161702,web2010
6,30,SJ,-0.868787578480167,-0.0237454460267213,web2010
6,31,Tawn180,-0.94201472654521,-0.300666591763588,web2010
6,32,C,-0.35531655104099,-0.0150429557001904,web2010
6,33,F,-0.261955059046748,-0.00573886064442923,web2010
6,35,SJ,-0.931796103787677,0.0030667296783589,web2010
6,36,Tawn,1.08144729357013,0.670014905998814,web2010
6,37,C,-1.3615339100423,0.00350802793967486,web2010
6,38,Tawn,1.28590826098126,0.761210019191437,web2010
6,39,J,1.20886137585107,0.0180369633789987,web2010
6,40,F,-0.101103176498869,-0.00415759755508781,web2010
6,41,C,0.0892737540572146,-0.00215415711672238,web2010
6,42,Tawn2_180,-1.15326777091512,0.172948477624262,web2010
6,43,C,0.0529259240089771,0.0141051007563452,web2010
6,44,J,-1.42926529934144,0.0200691642136233,web2010
6,45,F,0.276350330395803,-0.00613687962554502,web2010
6,46,F,-0.390250387432664,-0.0190473296854167,web2010
6,48,G,-1.05407027330874,-0.00277276011029389,web2010
6,49,F,1.63031653975619,0.010427058231403,web2010
6,50,Tawn,1.53014856552169,0.644402115981263,web2010
6,51,G,1.07627958671944,0.000291102361683591,web2010
6,52,J,1.08729391197478,-0.00108003738270052,web2010
6,53,SJ,0.786987005829385,-0.000792077951356328,web2010
6,54,F,-0.851578500894964,-0.00350363849627416,web2010
6,56,F,-0.826874589669803,-0.00326471705082276,web2010
6,57,I,-0.198146081884443,-0.00980489322931175,web2010
6,60,I,-0.0908545867882232,-0.00453887662035044,web2010
6,61,Tawn180,-0.115488838276215,-0.280042571303252,web2010
6,62,SJ,0.0718631195866468,0.00293649954526286,web2010
6,66,G,-0.584902060104723,0.00204241594700054,web2010
6,68,N,-1.52444333011998,0.0253911199035006,web2010
6,69,Tawn180,-0.298472980362121,-0.17962470999466,web2010
6,70,Tawn180,-0.276114522744772,-0.210449877504379,web2010
6,71,SC,-0.431114879781715,-0.00509776391720639,web2010
6,72,SJ,-0.416493633093215,-0.02939198627964,web2010
6,74,Tawn,-0.0177155355407689,0.308115234742397,web2010
6,77,J,-0.343240156305822,0.0224784406765438,web2010
6,79,Tawn180,1.02048266522456,-0.107556910629213,web2010
6,80,F,1.16075474167433,-0.0205991584756926,web2010
6,81,N,1.14332408701281,-0.0269676060723535,web2010
6,82,SJ,-0.15784432482855,0.0172152410570315,web2010
6,85,F,0.237075641028912,-0.0198115721965119,web2010
6,87,SG,-0.378904020442776,0.00255341438621767,web2010
6,88,Tawn180,-0.0641929245946252,-0.179766924729918,web2010
7,8,SG,0.860713253615399,0.010652013852851,web2010
7,9,J,0.120204061992618,0.00269834368929362,web2010
7,10,Tawn2,-1.26110178947628,-0.940084012719483,web2010
7,11,J,-2.40106211823413,0.00916977846348581,web2010
7,12,Tawn2,-1.57625597443886,-1.25924797107337,web2010
7,13,G,0.362087615262002,0.0224776316028908,web2010
7,14,J,-0.141736273403053,0.0168399717624733,web2010
7,15,J,0.0218303350205852,-0.0143851464709334,web2010
7,16,J,0.121115524020645,-0.0131345043690145,web2010
7,17,G,-0.201612921746841,-0.00802129913866643,web2010
7,18,J,0.0449188460812438,-0.022551833775879,web2010
7,19,F,-0.787447809696849,0.00304781611522578,web2010
7,20,N,-0.595180249832985,-0.00240786665008287,web2010
7,21,G,1.76893336541942,0.0274788067761221,web2010
7,22,Tawn,2.0159502133456,1.13305441269425,web2010
7,24,Tawn2,-0.435194251420076,-0.923931431546173,web2010
7,25,Tawn2,-0.576551480606842,-1.04908651051037,web2010
7,26,SC,-0.36361238384493,0.00913235595995862,web2010
7,27,Tawn2,-1.35375544899871,-0.768818695172322,web2010
7,29,J,-0.23510959462907,0.0110682628650896,web2010
7,30,G,-0.232997868733839,0.00261155036978208,web2010
7,31,G,-0.808083585767279,0.00241999174850982,web2010
7,32,G,-0.225744169157329,-0.0131558386007508,web2010
7,33,G,-0.0889852606733042,-0.0011633446291662,web2010
7,35,G,-0.777824869925722,-0.0045108910613774,web2010
7,36,t,-0.211932405726783,0.0145234949031906,web2010
7,37,SG,-1.83600111728739,-0.0127681017534291,web2010
7,38,F,0.650172732211425,0.00811983542607843,web2010
7,39,C,0.853920556278699,-0.0142759435476711,web2010
7,40,I,-0.0721244645237445,0.0143800953025037,web2010
7,41,Tawn180,-0.327076960383338,-0.34501519808791,web2010
7,42,SJ,-1.30808692782288,0.0149771795752677,web2010
7,43,I,-0.332749801206564,0.0105487579510836,web2010
7,44,G,-0.106857209039662,0.00380818438332762,web2010
7,45,G,-0.43015693535828,0.0127174261308071,web2010
7,46,I,-0.540999875198311,0.00435196364578873,web2010
7,48,I,-0.745457982053187,-0.00225156900964888,web2010
7,49,SBB7,0.0718417172497396,0.00230547056906027,web2010
7,50,SBB7,0.0363588450733348,-6.20830321583669e-05,web2010
7,51,Tawn,1.54269138133513,0.990733556356913,web2010
7,52,G,1.5018474741831,-0.0240127600565689,web2010
7,53,J,0.867328023377244,-0.00491136620132544,web2010
7,54,SG,-0.816135752151258,0.00683082459999534,web2010
7,56,F,-0.77516890565967,0.0332693478013235,web2010
7,57,F,-0.476871705173382,-0.00459359101812596,web2010
7,60,N,0.182314850261576,-0.0044508660883083,web2010
7,61,F,-0.0582805350572782,-0.00178111087175026,web2010
7,62,N,0.0766164037913716,0.00178670579710659,web2010
7,66,G,-1.76307493176823,0.00519565956221155,web2010
7,68,F,-1.88208380460003,0.0388795412556999,web2010
7,69,J,-0.257888344276213,0.0137716421022563,web2010
7,70,J,-0.418381816677237,0.00395655701589434,web2010
7,71,J,0.78927762407818,0.00530420368427267,web2010
7,72,G,-0.295625046403666,-0.02306715769771,web2010
7,74,SC,-0.151387022684571,0.00150408311890927,web2010
7,77,G,-1.1204408225162,-0.00793023228174407,web2010
7,79,G,0.260394020164426,-0.013414547606329,web2010
7,80,t,0.421790526640395,0.00542454632238823,web2010
7,81,t,0.879516709746836,-0.0190624808559084,web2010
7,82,I,-0.274429886162419,0.00261864287408596,web2010
7,85,I,-0.0585095165890304,0.00386427354697393,web2010
